flight_date,flight_status,departure_airport,departure_timezone,departure_estimated,arrival_airport,arrival_timezone,airline_name
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T11:45:00+00:00,Soekarno-Hatta International,Asia/Jakarta,Singapore Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T11:20:00+00:00,Penang International,Asia/Kuala_Lumpur,Singapore Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T01:30:00+00:00,Seoul (Incheon),Asia/Seoul,Korean Air
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T15:45:00+00:00,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,Singapore Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T05:45:00+00:00,Sydney Kingsford Smith Airport,Australia/Sydney,FedEx
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T02:15:00+00:00,Haneda Airport,Asia/Tokyo,JAL
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T02:30:00+00:00,Seoul (Incheon),Asia/Seoul,T'Way Air
2024-03-30,active,Singapore Changi,Asia/Singapore,2024-03-30T12:55:00+00:00,Hong Kong International,Asia/Hong_Kong,American Airlines
2024-03-30,active,Singapore Changi,Asia/Singapore,2024-03-30T15:35:00+00:00,Ngurah Rai International,Asia/Makassar,Emirates
2024-03-30,active,Singapore Changi,Asia/Singapore,2024-03-30T15:35:00+00:00,Ngurah Rai International,Asia/Makassar,Air France
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T16:20:00+00:00,Ngurah Rai International,Asia/Makassar,Garuda Indonesia
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T16:20:00+00:00,Ngurah Rai International,Asia/Makassar,United Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T16:20:00+00:00,Ngurah Rai International,Asia/Makassar,Vistara
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T08:30:00+00:00,Cairns,Australia/Brisbane,Singapore Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T14:35:00+00:00,Chongqing Jiangbei International,Asia/Shanghai,Chongqing Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T06:50:00+00:00,Penang International,Asia/Kuala_Lumpur,Qantas
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T06:50:00+00:00,Penang International,Asia/Kuala_Lumpur,Fiji Airways
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T06:50:00+00:00,Penang International,Asia/Kuala_Lumpur,KLM
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T06:50:00+00:00,Ngurah Rai International,Asia/Makassar,Garuda Indonesia
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T00:10:00+00:00,Seoul (Incheon),Asia/Seoul,Asiana Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T00:10:00+00:00,Seoul (Incheon),Asia/Seoul,Virgin Australia
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T00:25:00+00:00,Melbourne - Tullamarine Airport,Australia/Melbourne,Ethiopian Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T00:25:00+00:00,Melbourne - Tullamarine Airport,Australia/Melbourne,Lufthansa
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T00:25:00+00:00,Melbourne - Tullamarine Airport,Australia/Melbourne,SWISS
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T00:25:00+00:00,Melbourne - Tullamarine Airport,Australia/Melbourne,SAS
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T00:25:00+00:00,Melbourne - Tullamarine Airport,Australia/Melbourne,Turkish Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T00:25:00+00:00,Melbourne - Tullamarine Airport,Australia/Melbourne,Virgin Australia
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T00:25:00+00:00,Franz Josef Strauss,Europe/Berlin,Aegean Airlines
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T00:25:00+00:00,Franz Josef Strauss,Europe/Berlin,Lufthansa
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T06:10:00+00:00,Suvarnabhumi International,Asia/Bangkok,EVA Air
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T17:35:00+00:00,Tan Son Nhat International,Asia/Ho_Chi_Minh,Asiana Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T17:35:00+00:00,Tan Son Nhat International,Asia/Ho_Chi_Minh,Asiana Airlines
